English,русский
Your Financial Freedom | BitcoinZ,Ваша Финансовая Свобода | BitcoinZ
BitcoinZ is the future of cryptocurrency. Welcome to decentralization.,BitcoinZ - это криптовалюта будущего. Добро пожаловать в децентрализацию.
COMMUNITY_PAPER_URL,COMMUNITY_PAPER_URL
Home,Главная
Community Paper,Документ сообщества
Benefits,Преимущества
Exchange,Биржи
Wallets,Кошельки
Guides,Руководства
Pools,Пулы
Explorer,Проводники
Social,Сообщество
Lang,Язык
It's Your Coin,Это Ваша Монета
BitcoinZ: The true Bitcoin 2.0,BitcoinZ: это истинный Bitcoin 2.0
Welcome to the decentralization,Добро пожаловать в децентрализацию
Start Mining,Начать Майнинг
Latest News,Свежие Новости
Donate,Пожертвования
About the <span>coin</span>,О <span>монете</span>
Important Details,Важные данные
- Backup your wallet in many locations<br>- Store big amount of coins in cold wallets in anonymous addresses<br>- Don't give / send anyone your private keys. Private keys needs to be secured. You can recover your wallets. If you give or send anyone your private key please consider it as a red flag and quickly move your coins to other address,"- Храните резервные копии кошелька в нескольких местах<br>- Большое количество монет храните в холодных кошельках на анонимных адресах<br>- Не давайте / не посылайте никому свои приватные ключи. Секретные ключи должны быть надежно защищены. Без них вы не сможете восстановить свой кошелек.<br>Если вы случайно отдали или отправили свой приватный ключ, необходимо быстро реагировать и срочно переместить свои монеты на другой адрес."
BitcoinZ is <span>Bitcoin 2.0</span>,BitcoinZ это <span>Bitcoin 2.0</span>
"- Bitcoin technology<br>- Anonymous transactions (zk-SNARKs privacy)<br>- Bitcoin has all transactions publicly available.<br>- decentralized GPU mining (ASIC miners are banned, hardforks to prevent ASIC miners are allowed)<br>- Decentralized development / All contributors are volunteers<br>- Big blocks -> blocks are similar to BCC / BCH","- Технология Bitcoin<br>- Анонимные транзакции (zk-SNARKs конфиденциальность)<br>- Доступны публичные транзакции как в Bitcoin<br>- децентрализованный GPU майнинг (майнинг на ASIC запрещен, допускаются хардфорки для предотвращения использования ASIC-майнеров)<br>- Децентрализованное развитие / Все участники - добровольцы<br>- Большие блоки -> по размеру схожи с BCC / BCH"
Active <span>Community</span>,Активное <span>Сообщество</span>
"Our community is active and we are always developing. <br>You can follow us in social networks, on the forum, as well as Slack","У нас очень активное сообщество, которое растет и развивается.<br>Вы можете следить за развитием в социальных сетях, на форумах и в Slack"
Benefits <span>BitcoinZ</span>,Преимущества <span>BitcoinZ</span>
Max Supply,Максимальная эмиссия
