"English","Indonesia"
"Your Financial Freedom | BitcoinZ","Kebebasan Finansial Anda | BitcoinZ"
"BitcoinZ is the future of cryptocurrency. Welcome to decentralization.","BitcoinZ adalah masa depan cryptocurrency. Selamat datang di desentralisasi."
"COMMUNITY_PAPER_URL","https://drive.google.com/file/d/1aLuEcyHNKq215X4am2YQNXfQmPnV1pTt"
"Home","Rumah"
"Community Paper","Catatan Komunitas"
"Benefits","Manfaat"
"Exchange","Pertukaran"
"Wallets","Dompet"
"Guides","Panduan"
"Pools","Pertambangan"
"Explorer","Jelajah"
"Social","Sosial"
"Lang","Bahasa"
"It's Your Coin","Itu koinmu"
"BitcoinZ: The true Bitcoin 2.0","BitcoinZ: Bitcoin 2.0 yang sebenarnya"
"Welcome to the decentralization","Selamat Datang di Desentralisasi."
"Start Mining","Mulai menambang"
"Latest News","Berita Terbaru"
"Donate","Menyumbangkan"
"About the <span>coin</span>","Tentang <span>BTCZ</span>"
"Important Details","Informasi penting"
"- Backup your wallet in many locations<br>- Store big amount of coins in cold wallets in anonymous addresses<br>- Don't give / send anyone your private keys. Private keys needs to be secured. You can recover your wallets. If you give or send anyone your private key please consider it as a red flag and quickly move your coins to other address","- Cadangkan dompetmu di banyak lokasi <br>- Simpan koin dalam jumlah besar di dompet dingin dengan alamat anonim <br>- Jangan emberi/mengirimkan kunci khusus kepada siapapun. Kunci khusus adalah satu – satunya kunci yang kamu gunakan untuk membuka alamat koin. Jika kamu memberi/mengirimkannya kepada seseorang, pastikan kamu mewanti – wanti dengan sangat waspada dan segera pindahkan seluruh koinmu ke alamat yang berbeda."
"BitcoinZ is <span>Bitcoin 2.0</span>","BitcoinZ adalah <span>Bitcoin VERSI 2.0</span>"
"- Bitcoin technology<br>- Anonymous transactions (zk-SNARKs privacy)<br>- Bitcoin has all transactions publicly available.<br>- decentralized GPU mining (ASIC miners are banned, hardforks to prevent ASIC miners are allowed)<br>- Decentralized development / All contributors are volunteers<br>- Big blocks -> blocks are similar to BCH","- Teknologi Bitcoin <br>- Transaksi anonim (privasi zk-SNARKs) <br>– Semua transaksi bitcoin dapat dilihat oleh semua orang (umum) <br>- Pertambangan desentralisasi menggunakan GPU (dilarang menambang menggunakan ASIC hardfork untuk mencegak penambang ASIC diijinkan) <br>- Pengembangan desentralisasi/semua kontribusi berasal dari relawan <br>- Blok lebih besar -> Blok mirip dengan BCC/BCH" 
"Active <span>Community</span>","Komunitas <span>aktif</span>"
"Our community is active and we are always developing. <br>You can follow us in social networks, on the forum, as well as Slack","Kami adalah komunitas aktif yang terus mengembangkan bitcoinz. Kamu dapat mengikuti kami di berbagai jejaring social, forum dan tentu saja di Slack"
"Benefits <span>BitcoinZ</span>","Manfaat <span>BitcoinZ</span>"
"Max Supply","Pasokan Maks"
"21,000,000,000 BTCZ","21,000,000,000 BTCZ"
"Algorithm","Algoritma"
"PoW","Zhash"
"Fast Transactions","Transaksi Cepat"
"2MB every 2.5 minutes","2MB setiap 2,5 menit"
"Circulating Supply","Persediaan Beredar"
"12,500 coins every 2.5 minutes","12,500 koin setiap 2,5 menit"
"Our goal is to port all best free software on the market to be able to use in BitcoinZ.","Tujuan kami adalah untuk menjembatani semua perangkat lunak terbaik dapat dengan mudah menggunakan BitcoinZ."
"<p>Immutable params:</p> <p>- max supply </p> <p>- inflation </p> <p>- only POW algo - we may change Zhash algo to other POW algo to prevent ASIC miners </p> <p>- new features are allowed to improve usage / scalability, but we will never change history (ETH/ETC case) </p>","<p>Catatan Khusus:</p> <p>- Total Suplai </p> <p>- Inflasi </p> <p>- Hanya menggunakan algoritma POW – Kami mengubah algoritma Zhash dengan algoritma POW untuk membatasi penambang menggunakan komputer ASIC. </p> <p>- Mengijinkan Fitur baru untuk meningkatkan skala pemakaian, tapi kami tidak akan mengubah catatan sejarah (seperti ETH/ETC) </p>"
