English,English
Your Financial Freedom | BitcoinZ,Your Financial Freedom | BitcoinZ
BitcoinZ is the future of cryptocurrency. Welcome to decentralization.,BitcoinZ is the future of cryptocurrency. Welcome to decentralization.
COMMUNITY_PAPER_URL,https://drive.google.com/file/d/19eJ09gwba5Ix9k3Y8Kk7NqdTbnUTFXDj
Home,Home
Community Paper,Community Paper
Benefits,Benefits
Exchange,Exchange
Wallets,Wallets
Guides,Guides
Pools,Pools
Explorer,Explorer
Social,Social
Lang,Lang
It's Your Coin,It's Your Coin
BitcoinZ: The true Bitcoin 2.0,BitcoinZ: The true Bitcoin 2.0
Welcome to the decentralization,Welcome to the decentralization
Start Mining,Start Mining
Latest News,Latest News
Donate,Donate
About the <span>coin</span>,About the <span>coin</span>
Important Details,Important Details
- Backup your wallet in many locations<br>- Store big amount of coins in cold wallets in anonymous addresses<br>- Don't give / send anyone your private keys. Private keys needs to be secured. You can recover your wallets. If you give or send anyone your private key please consider it as a red flag and quickly move your coins to other address,- Backup your wallet in many locations<br>- Store big amount of coins in cold wallets in anonymous addresses<br>- Don't give / send anyone your private keys. Private keys needs to be secured. You can recover your wallets. If you give or send anyone your private key please consider it as a red flag and quickly move your coins to other address
BitcoinZ is <span>Bitcoin 2.0</span>,BitcoinZ is <span>Bitcoin 2.0</span>
"- Bitcoin technology<br>- Anonymous transactions (zk-SNARKs privacy)<br>- Bitcoin has all transactions publicly available.<br>- decentralized GPU mining (ASIC miners are banned, hardforks to prevent ASIC miners are allowed)<br>- Decentralized development / All contributors are volunteers<br>- Big blocks -> blocks are similar to BCH","- Bitcoin technology<br>- Anonymous transactions (zk-SNARKs privacy)<br>- Bitcoin has all transactions publicly available.<br>- decentralized GPU mining (ASIC miners are banned, hardforks to prevent ASIC miners are allowed)<br>- Decentralized development / All contributors are volunteers<br>- Big blocks -> blocks are similar to BCH"
Active <span>Community</span>,Active <span>Community</span>
"Our community is active and we are always developing. <br>You can follow us in social networks, on the forum, as well as Slack","Our community is active and we are always developing. <br>You can follow us in social networks, on the forum, as well as Slack"
Benefits <span>BitcoinZ</span>,Benefits <span>BitcoinZ</span>
Max Supply,Max Supply
"21,000,000,000 BTCZ","21,000,000,000 BTCZ"
Algorithm,Algorithm
Equihash,Equihash
Fast Transactions,Fast Transactions
2MB every 2.5 minutes,2MB every 2.5 minutes
Circulating Supply,Circulating Supply
"12,500 coins every 2.5 minutes","12,500 coins every 2.5 minutes"
Our goal is to port all best free software on the market to be able to use in BitcoinZ.,Our goal is to port all best free software on the market to be able to use in BitcoinZ.
"<p>Immutable params:</p> <p>- max supply </p> <p>- inflation </p> <p>- only POW algo - we may change Equihash algo to other POW algo to prevent ASIC miners </p> <p>- new features are allowed to improve usage / scalability, but we will never change history (ETH/ETC case) </p>","<p>Immutable params:</p> <p>- max supply </p> <p>- inflation </p> <p>- only POW algo - we may change Equihash algo to other POW algo to prevent ASIC miners </p> <p>- new features are allowed to improve usage / scalability, but we will never change history (ETH/ETC case) </p>"
