English,Slovenian
Your Financial Freedom | BitcoinZ,Vaša finančna svoboda | BitcoinZ
BitcoinZ is the future of cryptocurrency. Welcome to decentralization.,BitcoinZ je prihodnost kriptovalut. Dobrodošli v decentralizaciji.
COMMUNITY_PAPER_URL,https://drive.google.com/file/d/1aLuEcyHNKq215X4am2YQNXfQmPnV1pTt
Home,Domov
Community Paper,Whitepaper
Benefits,Prednosti
Exchange,Kripto borze
Wallets,Denarnice
Guides,Navodila
Pools,Pools
Explorer,Explorer
Social,Socialno
Lang,Jezik
It's Your Coin,Tvoj kovanec
BitcoinZ: The true Bitcoin 2.0,BitcoinZ: Pravi Bitcoin 2.0
Welcome to the decentralization,Dobrodošli v decentralizaciji.
Start Mining,Pričnite rudariti
Latest News,Zadnje novice
Donate,Darujte
About the <span>coin</span>,O <span>kovancu</span>
Important Details,Pomembni podatki
- Backup your wallet in many locations<br>- Store big amount of coins in cold wallets in anonymous addresses<br>- Don't give / send anyone your private keys. Private keys needs to be secured. You can recover your wallets. If you give or send anyone your private key please consider it as a red flag and quickly move your coins to other address,"- Ustvarite varnostne kopije denarnic na več lokacijah.<br>- Večje vsote kovancev shranjujte v hladni denarnici (cold wallet).<br>- Svojega privat ključa ne pošiljajte nikomur. Biti mora zavarovan, da lahko obnovite svojo denarnico. Če komurkoli pošljete svoj privaten ključ prosimo, da razmislite o prenosu kovancev na drugi naslov."
BitcoinZ is <span>Bitcoin 2.0</span>,BitcoinZ je <span>Bitcoin 2.0</span>
"- Bitcoin technology<br>- Anonymous transactions (zk-SNARKs privacy)<br>- Bitcoin has all transactions publicly available.<br>- decentralized GPU mining (ASIC miners are banned, hardforks to prevent ASIC miners are allowed)<br>- Decentralized development / All contributors are volunteers<br>- Big blocks -> blocks are similar to BCC / BCH","- Bitcoin tehnologija<br>- Anonimne transakcije (zk-SNARKs privacy)<br>- Bitcoin ima vse transakcije javno dostopne.<br>- decentralizirano GPU rudarjenje (ASIC rudarji so izključeni, ""hardforks"" za preprečevanje ASIC rudarjenja so dovoljeni)<br>- Decentraliziran razvoj / Vsi sodelujoči so prostovoljci<br>- Veliki bloki -> bloki so podobni BCC / BCH"
Active <span>Community</span>,Aktivna<span>Skupnost</span>
