English,Português
Your Financial Freedom | BitcoinZ, Sua liberdade financeira | BitcoinZ
BitcoinZ is the future of cryptocurrency. Welcome to decentralization.,BitcoinZ é o futuro da criptomoeda. Bem-vindo à descentralização.
COMMUNITY_PAPER_URL,https://drive.google.com/file/d/1aLuEcyHNKq215X4am2YQNXfQmPnV1pTt
Home,Recepção
Community Paper,Documento Comunitário
Benefits,Benefícios
Exchange,Mercados
Wallets,Carteiras
Guides,Guias
Pools,Pools
Explorer,Explorer
Social,Redes Sociais
Lang,Idiomas
It's Your Coin,É sua moeda
BitcoinZ: The true Bitcoin 2.0,BitcoinZ: O verdadeiro Bitcoin 2.0
Welcome to the decentralization,Bem-vindo à descentralização
Start Mining,Iniciar Mineração
Latest News,Últimas notícias
Donate,Faça uma doação
About the <span>coin</span>,Sobre a <span>moeda</span>
Important Details,Detalhes importantes
"- Backup your wallet in many locations<br>- Store big amount of coins in cold wallets in anonymous addresses<br>- Don't give / send anyone your private keys. Private keys needs to be secured. You can recover your wallets. If you give or send anyone your private key please consider it as a red flag and quickly move your coins to other address","- Faça backup da sua carteira em vários locais<br>- Armazene uma grande quantidade de moedas em carteiras frias (cold storage) e em endereços anônimos<br>-  Não dê / envie a ninguém suas chaves privadas. As chaves privadas precisam ser protegidas. Você pode recuperar suas carteiras. Se você der ou enviar a alguém sua chave privada, considere-a como uma bandeira vermelha e mova rapidamente suas moedas para outro endereço."
BitcoinZ is <span>Bitcoin 2.0</span>,BitcoinZ é <span>Bitcoin 2.0</span>
"- Bitcoin technology<br>- Anonymous transactions (zk-SNARKs privacy)<br>- Bitcoin has all transactions publicly available.<br>- decentralized GPU mining (ASIC miners are banned, hardforks to prevent ASIC miners are allowed)<br>- Decentralized development / All contributors are volunteers<br>- Big blocks -> blocks are similar to BCH","- Tecnologia Bitcoin <br> - Transações anônimas (privacidade de zk-SNARKs) <br> - O Bitcoin possui todas as transações disponíveis publicamente. <br> - Mineração descentralizada por GPU (mineradores ASIC são proibidos, forks permitidos para impedir a mineração com ASIC) <br> - Desenvolvimento descentralizado / Todos os colaboradores são voluntários <br> - Blocos grandes -> Blocos semelhantes a BCH "
Active <span>Community</span>,<span>Comunidade</span> ativa
"Our community is active and we are always developing. <br>You can follow us in social networks, on the forum, as well as Slack","Nossa comunidade está ativa e estamos em constante evolução. <br> Você pode nos seguir nas redes sociais, no fórum e no Slack."
Benefits <span>BitcoinZ</span>,Benefícios do <span>BitcoinZ</span>
