English,Srpski
Your Financial Freedom | BitcoinZ,Tvoja financijska sloboda | BitcoinZ
BitcoinZ is the future of cryptocurrency. Welcome to decentralization.,BitcoinZ je budućnost kriptovaluta. Dobrodošli u decentralizaciju.
COMMUNITY_PAPER_URL,https://drive.google.com/file/d/1aLuEcyHNKq215X4am2YQNXfQmPnV1pTt
Home,Početna
Community Paper,Papir Zajednice
Benefits,Pogodnosti
Exchange,Menjačnice
Wallets,Novčanici
Guides,Uputstva
Pools,Bazeni
Explorer,Istraživač
Social,Mreže
Lang,Jezik
It's Your Coin,Ovo je tvoj novčić
BitcoinZ: The true Bitcoin 2.0,BitcoinZ: Pravi Bitcoin 2.0
Welcome to the decentralization,Dobrodošli u decantralizaciju
Start Mining,Započni Rudarenje
Latest News,Poslednje vesti
Donate,Doniraj
About the <span>coin</span>,O <span>novčiću</span>
Important Details,Važni detalji
- Backup your wallet in many locations<br>- Store big amount of coins in cold wallets in anonymous addresses<br>- Don't give / send anyone your private keys. Private keys needs to be secured. You can recover your wallets. If you give or send anyone your private key please consider it as a red flag and quickly move your coins to other address,"- Napravi rezervne kopije svog novčanika na više lokacija.<br>- Čuvaj velike sume novčića u hladnim novčanicima ili anonimnim adresama.<br>- Nemoj davati ili slati svoje privatne ključeve. Privatni ključevi se trebaju čuvati na sigurnim lokacijama. Oni će vam pomoći da povratite svoj novčanik. Ukoliko ste nekome dali ili poslali svoje privatne ključeve, to je već alarmantna situacija. U najkraćem mogućem roku pošaljite svoje novčiće na novu adresu."
BitcoinZ is <span>Bitcoin 2.0</span>,BitcoinZ je <span>Bitcoin 2.0</span>
